Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
160,469,384,112,174,87,borsche(.Y.)cln0,['Routing'],Only Tor,13.6 bitcoin,64,02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c
130,258,165,103,140,88,YTMND,[],Only Tor,13.5 bitcoin,76,03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330
43,23,76,120,93,89,BCash_Is_Trash,[],Clearnet and Tor,13.4 bitcoin,106,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f
144,898,82,58,160,90,goblin-no.de,[],Only Tor,13.2 bitcoin,69,02a0f17d3ddb81b3b0c048956baebdf68468c9d7c8b851e5d26354a64a54cff562
189,383,158,158,148,91,IBEX_Ops1,['LSP' 'Payment'],Only Tor,13.2 bitcoin,72,03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106
46,96,918,76,45,92,Voltage,[],Only Tor,13.1 bitcoin,171,031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa
69,243,727,92,77,93,MerchantConnectHUB,[],Only Tor,13.1 bitcoin,118,023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a
108,154,212,126,107,94,IBEX_Routing,['LSP' 'Payment'],Only Tor,12.6 bitcoin,89,03d35779ff612c574b92494d74300ce467e0eb510181a6ae3eb74d8ada891d82aa
103,525,500,56,102,95,pedroLND,[],Only Tor,12.3 bitcoin,92,034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be
95,114,51,74,101,96,GoogolBLITZ,[],Only Tor,12.1 bitcoin,95,028142dba8a06b1f2630f08b238b36645b458c0dd2a06fccda05a17115b2921a3f
493,742,157,316,433,97,deezy prime ⚡ ✨,['LSP'],Only Clearnet,11.9 bitcoin,30,0214ec5397050f7eec8e574d1d6feaa0c992169ed107056e6bd57aed1e94714851
1962,3375,2673,2963,152,98,,[],Only Tor,11.9 bitcoin,71,024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17
512,1195,449,437,351,99,lndwr3.zaphq.io,[],Only Clearnet,11.9 bitcoin,36,02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de
