Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
7862,8485,7812,6860,8693,8896,8050,Coinstreet_Amsterdam,,494k sats,1.0,024bd5fd7586b33f4ca9f506b50baf3f9b36c4e04298f318d9a915153c283b61a2
7863,8785,7293,6778,8928,9125,8421,MosEisleySpaceport,,355k sats,1.0,02cf21b344646e0c2d6a0cf443f0b1b51a3c77b05ed442bcc7833848bd30d1830e
7864,6914,5440,11929,7314,7546,6288,CeesMeij,,1.0m sats,1.0,0333db550a6adf591d04d13fc19e9df0529a8e721311da6197f311a462f6674111
7865,7005,5441,11930,7401,7633,6375,KODAN,,1.0m sats,1.0,03580cd8016522376a0ef55ee3abbc407f96950aadae6d90487fbd508eb49600ba
7866,7014,5442,11931,7410,7642,6384,,,1.0m sats,1.0,039347f10085359c7c598e94a6d81a12c05161b5aae3bbaa3da5a6b2c2a9a63839
7867,7142,5443,11932,7532,7764,6506,sevenflowerln1,,1.0m sats,1.0,039ab76496a8856dc195a102e5edfa1ed7551df335dc009860309addebd3bc4283
7868,7273,5444,11933,7657,7889,6631,0243eb245b9b0d6d1974,,1.0m sats,1.0,0243eb245b9b0d6d19749598f02c1689ecda4657e0b0fc020b76667a3fa9ef8a50
7869,8788,7296,6780,8930,9127,8425,Bitclair,,353k sats,1.0,03e81f0c57cc7c77e6eeb5b99a1fa1f1601579f476f3ad465a00a926016046c045
7870,6702,10488,9994,8937,5355,5933,031ac142ce2343f4652e,,1.2m sats,2.0,031ac142ce2343f4652ea0f1286b95e780da72628f8f8b7fa9975c9bcd421967eb
7871,8491,7813,6863,8697,8900,8060,www.mgdjs.de,,490k sats,1.0,02379f8ffd4e080f2a9ee5ada5e02c6be5625eb93dfadd45fb9aabe69ea97e3595
7872,8789,7298,6781,8931,9128,8426,03b82978fe1a210f7cba,,352k sats,1.0,03b82978fe1a210f7cba11ad5e2eadf18a3a673ed964100bb4c366c5a571845e49
7873,5335,11295,10041,6392,6662,3709,pagcoin.org|BR⚡LN,,5.1m sats,1.0,02dbdd45505ca50500f78b0c52e73747415147e0c5ca28d72450d18884c54771d8
7874,8493,7815,6865,8698,8901,8062,Dragonfly,,487k sats,1.0,03f93054dfa868eb9317df13a1a88ea15c28fbbe486be44e9f9c8ae409d4873517
7875,8791,7299,6782,8932,9129,8428,One LN Node,,352k sats,1.0,02ba0b848738d5fd0725ca19342964f8dacd61663150acdc81dc1c892a67d5008a
7876,8792,7300,6783,8933,9130,8429,RTKLND,,352k sats,1.0,023744412f66c0018d08f42fdcf4e364cbe6b0a472e4cc86e8c68d719cfb426975
7877,8496,7816,6868,8700,8903,8065,TANSTAAFL,,484k sats,1.0,026f52e48c8b29c0d15d0c82765d43954af275768d1ae6579343befb26418db371
7878,7786,11653,6144,9929,5674,7272,,,600k sats,2.0,038878e8f26cfe05e53402643b44e4773dcf9c903f06caa057c8c95f5d9277464d
7879,6968,5287,12121,7366,7598,6340,Tyler DurdenHands,,1.0m sats,1.0,03d5c7a7dc9f46b132c64912981b0ffe891766075ba7ef1c52c751c6c5a14607bc
7880,5722,8924,11497,6621,6888,4426,031e31999be50e925492,,3.3m sats,1.0,031e31999be50e92549292806e15da64dd1db127503bbb55a7a0bb8dc12a5fed32
7881,8499,7817,6878,8702,8905,8069,0303aa2b59c4eb13945e,,480k sats,1.0,0303aa2b59c4eb13945e5d5d1d742e5b27ed85e891b815efeb50d9984421c34da8
7882,6912,6214,11197,7312,7544,6286,Monks Cress 🌱,,1.0m sats,1.0,036df34b6ec7bdd6192a12ba6c7b85b8cf888e94d469dcaeb64ba7b87e9e1c3447
7883,7289,6215,11198,7672,7904,6646,WKlightningnode,,1.0m sats,1.0,02b88805199a72a81655d8daff0dd2a5399109a91abb447c625ab046d9d04650fc
7884,7309,6216,11199,7690,7922,6664,02f4e8aa40bd76251e24,,1.0m sats,1.0,02f4e8aa40bd76251e249817bfd9a18b47cee15c4a0457f69778c8354b108e0f94
7885,7368,6217,11200,7745,7977,6719,0206e74aed257451f07c,,1.0m sats,1.0,0206e74aed257451f07cc1f40b7ace15f3a554bb2fc51eef36b679d325bed4d391
7886,5389,11188,9996,6428,6697,3819,03bff3070cb9e20e0b1a,,5.0m sats,1.0,03bff3070cb9e20e0b1ae13274305fb2d00455ab9f350616fbcb91b12a871f301b
7887,8797,9049,7416,9939,5841,8440,03cb921f607c425c18db,,350k sats,2.0,03cb921f607c425c18dbad0abd6b21e3989064a100ba1f1351bfd8223bb73730f9
7888,5474,10407,10780,6504,6773,3895,02143f7233496e7d71af,,5.0m sats,1.0,02143f7233496e7d71afabb3cc02d6ab112c3c1df6f0ab1c8d6b07ef74599925eb
7889,6781,7227,10983,7199,7446,6078,LPU,,1.1m sats,1.0,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c
7890,6581,11338,9947,8106,5271,5738,,,1.4m sats,2.0,03b215ac96b7f20c2f18f33e7e355a9d1e05900a736422570f5d0c2b37eabcb695
7891,7358,11296,9224,8115,5493,6258,,,1.0m sats,2.0,0290443975856c67d209524c71c9d2832e67e82f18fbcca7e46307ae94d351ec66
7892,8802,7302,6787,8942,9137,8456,038dbdc3f68e4a711cc5,,350k sats,1.0,038dbdc3f68e4a711cc5ca7f7abb6bf76c7bc09a1fe0725c54dff438d4a1cdf7d1
7893,8809,7303,6788,8948,9143,8462,02f81971f058eac4cecc,,350k sats,1.0,02f81971f058eac4cecccfb4f1094b1f0f860c7d00f056b3e1746d16de67633ae2
7894,8818,7304,6789,8954,9149,8468,merrimackvalleycrypto,,350k sats,1.0,0288511d2f59931bc478c7cf501d45e4f7c3b5ad968c06e3a9fd0b84c5329a140f
7895,5430,11792,9413,6462,6731,3853,0352884cc6111e50adec,,5.0m sats,1.0,0352884cc6111e50adec76fe94ea66aca1bee81a0e357f76c2b8bf0bdbce292fb5
7896,7667,4711,11727,7961,8186,7101,03fcd53f814d11faa07d,,732k sats,1.0,03fcd53f814d11faa07dbfa8878f803f71d69ac9ce842ee46c778b3ba19adbb1f6
7897,8823,7305,6790,8958,9153,8472,JPTHOR,,350k sats,1.0,0279213a94ab9a2077377a4851c740da4b32fd8786d9d070b0454fc15a71e14afe
7898,8824,7306,6791,8959,9154,8473,node01.cryptocc.io,,350k sats,1.0,03f9845eb558f66efe05fa4d7650a2395e278d65c29c5ba19847f31ae34e31fc3a
7899,6035,9938,9839,6761,7023,4993,036fdf80a85c63a1738f,,2.1m sats,1.0,036fdf80a85c63a1738f90785a2cfd8b2ed7abd00207c98d62be0d49a833217116
7900,8825,7307,6792,8960,9155,8475,srv01.ibot3.de,,349k sats,1.0,025dff6e781d4c6a926a60a3311a70fb50e90f84ffca159d2c5286b88feef41c91
7901,5697,9343,11212,6617,6884,4375,Brill,,3.5m sats,1.0,039604c8958c13718076f949b50534d9266984aef81077dd8f415c5b3725b4cc34
7902,8828,7308,6793,8962,9157,8479,R3ZeusNode [LND],,347k sats,1.0,03291f40c17ef80f6a63c7d40f960d59e1e6b247ac2214e766c5abd71ec45bb9ed
7903,8829,7309,6795,8963,9158,8480,EnergonCube2,,347k sats,1.0,03b64dc961d5d3207f695645ff067469a5ba5fbd1f87c28b131d3d307c69dca082
7904,7011,10115,7379,7407,7639,6381,The Satstack,,1.0m sats,1.0,034e6c3c63cb80db88d72915b50997aa3ac2a0e899aa735016b6d4987f75ca9dbd
7905,7068,10116,7380,7461,7693,6435,Empyreal,,1.0m sats,1.0,03c02f670ef3bd02b4e92d7583ffc3d42caf63d8ff5a7fe4d2e3aa04df8772f10e
7906,7156,10117,7381,7545,7777,6519,,,1.0m sats,1.0,02ba87f947d6dc1f4adb981d7de264e980ed2c535351a6dc9c16e54b168660d818
7907,7436,10118,7382,7809,8041,6783,0271a94ac13f480aa58e,,1.0m sats,1.0,0271a94ac13f480aa58ea83889674df22d31f6ee29b851bcbbcc405faa72428c6e
7908,8831,7310,6798,8964,9159,8483,�Dubai-UAE-Lightning�,,345k sats,1.0,02360f3037ab0247f35e176347653d85af371166f969ac03309afbca7c549b1a18
7909,7233,5520,11981,7618,7850,6592,MyRaspi,,1.0m sats,1.0,02ff929a87fb797ef794d65a1891d4bc2dd5b7a6dcacea29be816daba90d5bb817
7910,8833,7311,6799,8966,9161,8486,035394fff7176cadd8a2,,345k sats,1.0,035394fff7176cadd8a25beb8b4303a33a69136fd52d1bcfffd510bcc685c8899e
7911,7249,6565,10944,7634,7866,6608,lnLATAM001,,1.0m sats,1.0,02cff38e0c8329d3da345a1192efed582d9a65e0e5bef8e1e0c287b0c4be67cc0e
7912,7301,6566,10945,7682,7914,6656,02475c936a25824f1067,,1.0m sats,1.0,02475c936a25824f10674f317a13aafabe479e767e40a9842d54466ae8a6da2092
7913,7445,6567,10946,7818,8050,6792,satoshinode,,1.0m sats,1.0,026ef230f8823f55ca18127680c0338419e3b4da9b0170a4c900f2cbeb9a93f11f
7914,8834,7312,6800,8967,9162,8487,0336301b38c217e6aff2,,344k sats,1.0,0336301b38c217e6aff2801b9bd799cfad6e643c91f81d1f27b41f75e8a532c689
7915,8835,7313,6801,8968,9163,8488,saldo.mx,,344k sats,1.0,0292e2d1299753a1978b0818b24fff6aeb1879447b60ecbe096998cf5bf40b5e7a
7916,8836,7314,6802,8969,9164,8489,flashflip.io,,344k sats,1.0,021b7d3c5f49dcf9d2e00a1021394b62e9dabcbb3a549643f8b9f510fc77699e54
7917,5849,11304,9025,6682,6947,4637,BlockFinity,,3.0m sats,1.0,035c709aae4bcb860ebf07da75e6454172ce27b0dc2131c7263479696e2f1fe6bd
7918,7879,9517,9734,9931,4265,7435,the Art Banc,,507k sats,3.0,0205eaf2e61f26dfbd91c26473e3746968fd0e42aaff6232e16e53b822ffbd2f1e
7919,8592,3811,10642,8768,8968,8219,03162259a14b66307fb3,,400k sats,1.0,03162259a14b66307fb356bbc06c18f1754bf15c2fe198c1a243b1a90c17609824
7920,8595,3812,10643,8770,8970,8221,,,400k sats,1.0,026936c66af24fb650dc4f60a39bf3022c00e21ffd9dff3979d964290f8831516b
7921,8596,3813,10644,8771,8971,8222,02ab72f8eb147cc62fbb,,400k sats,1.0,02ab72f8eb147cc62fbbcf551d26ea27560c60371d2f42e34ed5e48d561c06f805
7922,8598,3814,10645,8773,8973,8224,02fb477cb83f80d548d0,,400k sats,1.0,02fb477cb83f80d548d00b8cd72a1a85fa55f77576462aa2d5de631b311c05eab0
7923,8599,3815,10646,8774,8974,8225,036d74f8896658033e07,,400k sats,1.0,036d74f8896658033e07a3ce77977ade4b904969ace89006c6f8a63477aa60e230
7924,8606,3816,10647,8781,8981,8232,Blastscale,,400k sats,1.0,02ce3b8bb5ec1426d56bc5610ab081ff7f959042a7a00f4b7f7c62809d1854599e
7925,8607,3817,10648,8782,8982,8233,036aeeb1959b270d3ec1,,400k sats,1.0,036aeeb1959b270d3ec1eee54ba9921bfac510571a6d7a26d823fa1104a9182b0e
7926,8609,3818,10649,8784,8984,8235,,,400k sats,1.0,0315d10c3364be3f180e48b1a624bb23a14df1606d3710b1dbc9de0ad75f405d5b
7927,8610,3819,10650,8785,8985,8236,0328b5d9d56c4f4192f4,,400k sats,1.0,0328b5d9d56c4f4192f4687611dd200765157d07b721343b2247472d386d551cda
7928,8612,3820,10651,8787,8987,8238,VIOLENTARTIST,,400k sats,1.0,02cb704ab96c0ce962b7a115e6124e3fe1d203177d4fefc9b3a163800bb082eb09
7929,8614,3821,10652,8789,8989,8240,Blumennode,,400k sats,1.0,03af6c176838eeb6211f3cd6b2cd3fa9cda05db8deecc1346a1c57f8f8008272f0
7930,8615,3822,10653,8790,8990,8241,03afc60135196925ffbe,,400k sats,1.0,03afc60135196925ffbedffe736725efb48c982ec44dd01dab7dc9770509d67770
7931,8616,3823,10654,8791,8991,8242,023d16b75464e939ac90,,400k sats,1.0,023d16b75464e939ac90c67c6ee3ae3d02805230bfa0182f0fc7f6fe551ea1b015
7932,8617,3824,10655,8792,8992,8243,023d530d6785813cd850,,400k sats,1.0,023d530d6785813cd8503a050bb45f0b9548694c7238e0a1a8f831958b98b4b575
7933,8619,3825,10656,8794,8994,8245,03b12b79618ab7c841a8,,400k sats,1.0,03b12b79618ab7c841a8a51d2ce5bbac6c11ad7395cdb6f1247b4e3713f47060ca
7934,8622,3826,10657,8797,8997,8248,03f7bc237b2b81e69394,,400k sats,1.0,03f7bc237b2b81e6939429874e748c9c5bba14c695be7df099170448d23294bf6f
7935,8623,3827,10658,8798,8998,8249,03b40766ecc69cfbfb03,,400k sats,1.0,03b40766ecc69cfbfb03695767de7ec16828302ab869411a129de752ae84c9e089
7936,8628,3828,10659,8803,9003,8254,02b34424bfe655da7d22,,400k sats,1.0,02b34424bfe655da7d220399dbb2ae45a55959a2055e4e467f92ec42828383e6f2
7937,8630,3829,10660,8805,9005,8256,02397502a129707e0532,,400k sats,1.0,02397502a129707e05329b61f727e53896b99f8e033cda2b1b52e65af0caadbfab
7938,8633,3830,10661,8807,9007,8258,Gabe's Lightning Node,,400k sats,1.0,03b5d6336355887f198638e2eecd516a602edd852e0eb370d371757d41246d4b2f
7939,8635,3831,10662,8809,9009,8260,,,400k sats,1.0,02539bcb0e8abad109fe12562e28c750c761485aac1313742d0972f602e324c142
7940,8636,3832,10663,8810,9010,8261,02b4e658ccde5c6c63d3,,400k sats,1.0,02b4e658ccde5c6c63d3f43a8770385be53ceaa19f9547cca8061f5b3376d67085
7941,8637,3833,10664,8811,9011,8262,Mercy,,400k sats,1.0,0207330b56dac4ecc5966d1f5aa2ed1bc04d35f96bae0d6da37573379e8583ab2a
7942,8638,3834,10665,8812,9012,8263,hatoto,,400k sats,1.0,03fa73b6c6e110d05331c4233fdaa3e4bb4c5fc2e8f274c37cff6abf05a5bc9ab8
7943,8639,3835,10666,8813,9013,8264,crishon,,400k sats,1.0,02f0c31f936d6e352cdb5b91fcf4e695145c2b438e5cac1258449947dce311fe41
7944,8640,3836,10667,8814,9014,8265,Breizh_Montagne,,400k sats,1.0,025e05030bbfacfd7fc26c74a65aa87bcda14baa3e9612540fb7c16ca54452cb85
7945,8642,3837,10668,8816,9016,8267,LNcampanilCL,,400k sats,1.0,03a061e0031fe63272ce682e7f96e809af03cc83cb784ba9119608edc6ba06a66d
7946,8643,3838,10669,8817,9017,8268,The Fountainhead,,400k sats,1.0,02d005f082a55302448b1d46c1a0b33f4599c786d2be395ccd0122a675bbd9c4cc
7947,8644,3839,10670,8818,9018,8269,ChetWalterz-CLN,,400k sats,1.0,027e6c3a7f0ec144b371c01248655b8403b21b7b75c5cd6718a89f887e8aa7d708
7948,8645,3840,10671,8819,9019,8270,033d6c9b2da94bccb4b7,,400k sats,1.0,033d6c9b2da94bccb4b7b74131eb21795bcb3acdf191da1095b486604dc0219ca0
7949,8646,3841,10672,8820,9020,8271,SatLink,,400k sats,1.0,02824b491d1a2199ff87eaf42b2f0eefc25d7198ebfa8c95565acedab01f2bb00e
7950,8648,3842,10673,8821,9021,8272,tosh,,400k sats,1.0,030545472cee5376806eb2765b6b9068eaaf04f4fff95006ff4defea2f852d823a
7951,8649,3843,10674,8822,9022,8273,SOLE,,400k sats,1.0,030044f1117254926718e2ecf7b267ed9d5a09aa4b182a65b697f6faca78eb7c31
7952,8652,3844,10675,8824,9024,8275,03e9ebd8d7307cbc5459,,400k sats,1.0,03e9ebd8d7307cbc545950f8313230fa3a0749a89720c4f7d65a5c4e34c97bbce0
7953,8657,3845,10676,8829,9029,8280,,,400k sats,1.0,03bcc87d81f5ea55035617b040e1b2bc36ebf549fb6e4b544027b2a4604195f0ad
7954,8658,3846,10677,8830,9030,8281,elbow-grease,,400k sats,1.0,028305e46ce5b0cf93aaf379e2689532b1c3fe71324e14a0cc02dfd32db3adb7e7
7955,8660,3847,10678,8832,9032,8283,038006f90c58842c950f,,400k sats,1.0,038006f90c58842c950f503d0fcb423517ec9cdbd2fdc458c5e3139e0629b71ec6
7956,8663,3848,10679,8835,9035,8286,liberty_farmer,,400k sats,1.0,03bfb32d6ad2bc70bde78ce9ca96e0e1cb4efecd10b04a344ec73361db77292c41
7957,8664,3849,10680,8836,9036,8287,0221f3ce3f7d2ac19e9c,,400k sats,1.0,0221f3ce3f7d2ac19e9c3deb84bac68d1f4c6f616d49a221b79e84ba2b63c92ec2
7958,8665,3850,10681,8837,9037,8288,UNITEDTRINITY,,400k sats,1.0,03e350854fa4f28f266830801c77a8c0f396699a542f5128596a86205ac82819aa
7959,8668,3851,10682,8840,9040,8291,032a3597e6dfa9408181,,400k sats,1.0,032a3597e6dfa94081811ce0cb72f091dd1289b40ab063e98ef7ec12d05232eec4
7960,8670,3852,10683,8842,9042,8293,03887fb03e24c4f0e5b4,,400k sats,1.0,03887fb03e24c4f0e5b43868ea707ae4d5a63747b1564dc4b5869c4cf7139500cf
7961,8676,3853,10684,8845,9045,8296,,,400k sats,1.0,03e9f53c4b7fd6496df87b750ff2fe103d07d731e655579b7eeee6397cfdc262fc
7962,8678,3854,10685,8847,9047,8298,0273155f3f88d2156016,,400k sats,1.0,0273155f3f88d21560163ec7aefbb5c745620b08dc9e24a45101d1fd366593b557
7963,8680,3855,10686,8848,9048,8299,pilightbolt,,400k sats,1.0,039e0cae2d70fc56a32da658435372d7877cb041db649e7c93a800378cd427a3f6
7964,8681,3856,10687,8849,9049,8300,024499ba06a647fa1190,,400k sats,1.0,024499ba06a647fa11904c781889630536fc55837c61ef9fc50080ba060a3c263b
7965,8683,3857,10688,8850,9050,8301,0232468fd633a4c5de25,,400k sats,1.0,0232468fd633a4c5de2507dceb6e9542445faff19d91184dfaaee040087ec924e9
7966,8684,3858,10689,8851,9051,8302,039f2527ed8cbf7caaca,,400k sats,1.0,039f2527ed8cbf7caacaf4c439cecb30338869e87c2a8ac12f9558f0fbd77c96e0
7967,8687,3859,10690,8854,9054,8305,0212287641bcf57063a6,,400k sats,1.0,0212287641bcf57063a692a445e0baf08d64d461745ae9708ce538c6e64921b89b
7968,8689,3860,10691,8856,9056,8307,026b6196cfd73603b451,,400k sats,1.0,026b6196cfd73603b45151353a3286d5a985878e95402a05355fc89ac751e4f0d4
7969,8694,3861,10692,8861,9061,8312,MorningMorning,,400k sats,1.0,03977018c2d36a56160a51bc494f8d7ba7217999f77ccdda488eda79fe678078d8
7970,8695,3862,10693,8862,9062,8313,ACMENOD1,,400k sats,1.0,022f401b919719763b11670f1321739b50819c7aecef8419c85e344b1e0c97d414
7971,8698,3863,10694,8865,9065,8316,YzerNode,,400k sats,1.0,02a09ea401a192c2b6466d5b71dac3080be6a8b87781a4c30d44fd9bc8ce7f9c3d
7972,8700,3864,10695,8867,9067,8318,cipher-joy,,400k sats,1.0,0348b112905d19c4707aaaa0fa5fab5a89e1555b4981360b06c0d22b928880c1fb
7973,8703,3865,10696,8869,9069,8320,03564fc6a32afd9df520,,400k sats,1.0,03564fc6a32afd9df5205f4b8a1d267c70c322b71c331c6343d7f4e41b8e40d11d
7974,8704,3866,10697,8870,9070,8321,[Hello Humans]👽,,400k sats,1.0,024539cf82de86e70747a9fe65bebd94de64ce78fa37525b20a7363d1ca29e30e2
7975,8705,3867,10698,8871,9071,8322,0216dcf7ddf2aa827fa6,,400k sats,1.0,0216dcf7ddf2aa827fa662c7e88c9a2e4d67837c92c672fa6c7df5dd46ea665592
7976,6053,9942,9844,6771,7033,5034,schatztruhe,,2.1m sats,1.0,03ff7f828dda4128ff0bd2e1dafb888e0fc827b9c5ed2ddcbb385c24da5f423792
7977,6060,9943,9845,6774,7036,5037,Noddy Nodds,,2.1m sats,1.0,02248632bbf3a87d42d94fe3119724cad53a28ea4041343f625ed6f9095136e9d1
7978,6064,9944,9846,6776,7038,5039,037c0d428e37236c56f1,,2.1m sats,1.0,037c0d428e37236c56f181975ce12ae05fec9d6acbf780a56ec457e1806b1f5910
7979,6413,11317,7797,7005,7262,5478,SHEEP₿ILD,,1.8m sats,1.0,036492b3b1d04dbbc60bb45551346b11ae7ff7061fb9ba66d29d2b751dcaae5ea6
7980,8842,7317,6804,8972,9167,8501,mynodebtc.com [myNode],,336k sats,1.0,03f1c48568c391fd677533812127f7c954be5d83be339f0dab8be78dee3aa99ee2
7981,6905,12012,5527,7305,7537,6279,scratchbitcoin.com,,1.0m sats,1.0,0322a823008062513a4d233429e3a2a1e8380a30f5891b7b53d17142c3db6751d4
7982,6103,11872,7842,6791,7053,5097,,,2.0m sats,1.0,02b67a645187ebfe2889506da101dad681a2fd9feff0571084008e62e24c14487d
7983,8843,7320,6807,8974,9168,8502,DeutscheBlitzBank,,335k sats,1.0,036a7894a4eb2483f2d62ad86e0bf211cf9538e33227ce65430edf687f11411394
7984,7511,11800,5039,7864,8093,6900,,,900k sats,1.0,0340fc8b550ab55c79673122fb547276f7ca1199d129371e5401c78063ff8673cd
7985,5934,11498,8563,6717,6980,4835,02635d17d294f7f815b2,,2.5m sats,1.0,02635d17d294f7f815b22226b3ca9126680e36bb8f42b3d58b645a03ce8aeb3283
7986,8844,7321,6808,8975,9169,8503,eclair.lightningnode,,335k sats,1.0,029c53de76bef1deb94f22daca852568dda73a92b01b313de0b44cf12587829426
7987,8845,7322,6809,8976,9170,8504,03e8b4193246bc3d25bc,,334k sats,1.0,03e8b4193246bc3d25bc09698dfe37d9bc04ec40b6531312c3f1d5c93550c643d5
7988,8515,8019,8193,11236,5759,8088,duella,,460k sats,2.0,036fed1032d6c65ae0bd77a486b328d05033e5912b3491fee538e1426f5840078b
7989,8514,7895,6926,8710,8913,8087,SABATH820,,462k sats,1.0,02fbedbf58997eede7f104dde23ca7a02268c9d28dcb4c3f6f6e5021557104cc06
7990,8848,7323,6812,8978,9172,8508,SprinterNode,,332k sats,1.0,03fa225168cefbde75a6d5cc63098ba62b6c159c9df9860e0042faf46aa60d1d3e
7991,5841,10887,9486,6676,6941,4631,,,3.0m sats,1.0,02bf4dbd592b77c2f2a36af6dd394e0664e512cb063b294a637ea4205c78d0a082
7992,7427,11890,5676,7800,8032,6774,,,1.0m sats,1.0,02dd7b9568e8bf38c528e98200fea292d26a6de7a1fb3120f54247b12cfffc6ade
7993,7428,12070,5496,7801,8033,6775,02053cbc5282b29af308,,1.0m sats,1.0,02053cbc5282b29af3082ef5b9a85b25bb1133cb55cfede26666d9f323f123ba0a
7994,7582,6337,10382,7907,8133,7005,,,800k sats,1.0,03835bb97380d607914791541c24821eb87662a04d6229ab61db13540d4541afdc
7995,7591,6338,10383,7913,8139,7011,Omega3,,800k sats,1.0,036e7aeef1602b92601cc3c16fbed259544e68ee26dfe5e15bc2df53c0b7b29980
7996,6267,9929,9580,6914,7171,5332,lnking,,2.0m sats,1.0,038dcdb2079a29277b2c7a2c73587e82839162139a55f9ba7b8c09d813cb014cfe
7997,8855,7325,6817,8982,9176,8517,,,329k sats,1.0,03b7d45d8d4971e1ba406404b8ddecf60c42e9a8bc9fc8910170a460624aadb74b
7998,8856,7326,6818,8983,9177,8518,store.elmit.com,,328k sats,1.0,0288f79705f1c2e17411d56119f516d55e267bf0aeb48258e1b005fe058fe8bbb8
7999,8858,7327,6820,8984,9178,8521,Omnitrixx2,,327k sats,1.0,03cd8d692b963b5abcd451607ab7a8a9c1eeee69df1adb3c1ac575e1f8be3b8fee
8000,7341,5696,11903,7720,7952,6694,0275e05c8a709cd7d49c,,1.0m sats,1.0,0275e05c8a709cd7d49cd1f5f096d97699d730f02d9748a3d166e6ffbb30427c8f
8001,7162,10308,7293,7551,7783,6525,,,1.0m sats,1.0,025a1cba5457f9e789aeb9604bfd602b5d18b48014d4454316b7b6d74b56e76b1f
8002,7340,10309,7294,7719,7951,6693,02c0199eafc45d6ba64a,,1.0m sats,1.0,02c0199eafc45d6ba64a1e18e2fea46d7e88ba17c4eb56a9d258de1b6e4a1987ed
8003,7407,10310,7295,7783,8015,6757,ickycage,,1.0m sats,1.0,0201be5b63e839fc57c66c7ab21dcea3aa79001de132f29ade96a0c2d6680c8eaf
8004,8860,7329,6821,8985,9179,8523,cerebralcrypto,,326k sats,1.0,02d13634c5cd765a5a9f8db5ddd25b399e9d7feb160f51e3b95c2aeeb1ee6e3156
8005,8961,11525,5673,9720,5896,8609,Othala-01,,300k sats,2.0,03e61f9b6a1b6777a3b0b685ff8b078690e3f315f245109fcbbcdb5d6a642969ce
8006,6784,11015,7383,7202,7449,6081,GenesisLiberationDay,,1.1m sats,1.0,0276729af3d1ddea1c195294ade73ca0ea9fa0b00fcb2a3837cf98b2014b7af629
8007,8862,7331,6823,8986,9180,8525,AGLD-Bullion-Desk,,325k sats,1.0,026f9c01e266863c0539ef98bfe4ecd585e6a7ee13ec42b4e09736a5a6f7152ee7
8008,8863,7333,6824,8987,9181,8526,02f86d855d968783d6e5,,325k sats,1.0,02f86d855d968783d6e5f157b4bc99a0043f0ac809c486c386a764e7dd6637626b
8009,8864,7334,6825,8988,9182,8527,031a185c0ae7dbf2ef47,,325k sats,1.0,031a185c0ae7dbf2ef47e0983d3e40ed44a188ab03455062263d87625ce23b6384
8010,9001,9050,7417,9942,5905,8618,sphinx-cln-swarm13,,300k sats,2.0,0339eeef46b3858741ac7812ec6e448301e736247358077036bea0fa0ad9683e8d
8011,5575,11631,9362,6548,6817,4137,Fabulous Darling,,4.0m sats,1.0,02d431e0dc16ca15677ffea0266abbb8e2317676c2347917fe3f228e26032ad14e
8012,8865,7336,6827,8989,9183,8529,Heavy Metal,,324k sats,1.0,03454214c65748030e9b92d05b585e263b8f8fafa4c6697e1acf8e5f13cd9e6de4
8013,8867,7337,6833,8991,9185,8531,FDOT-Gatsby,,322k sats,1.0,03130090b399b3dd924969cc36bd9c4472acdd048cf55755cb916cf8fd1d7a7991
8014,5475,9979,11430,6505,6774,3896,Yggdrasil,,5.0m sats,1.0,02a47a39a4d8f473ff2f9fd47cf96dae5a4b3e0e62f93c308d394f75e94460fdb8
8015,6214,7623,11946,6879,7136,5297,private.fedaykin.lnd,,2.0m sats,1.0,02195f59cc56aee9266d4d335e08fe7a548b43e9569385ce9ff23fcc982fce60a9
8016,6791,9516,9733,9922,5396,6051,Reckless Degenerate,,1.1m sats,2.0,03f5b5620bea104d91921b1effafe83bd0921d60b084b4e738b81d2e97e61f415e
8017,5746,11199,9409,6623,6890,4474,02be750acb5bc96cd182,,3.2m sats,1.0,02be750acb5bc96cd1829773743f4e977395a13f9f312f9366487db922476e4386
8018,7902,6697,10869,9932,5730,7452,Vanstra,,500k sats,2.0,038405fbc50e001c58c803e04fa3057ad87f664bc44ed4b14abf12e259fc32ad61
8019,6975,6108,11545,7373,7605,6347,btcpay.bitcoinpuertori.co,,1.0m sats,1.0,03ac9d759d2dfbb67f723482d316955813a5750f7ade6d9872e4ad1139c17e7c08
8020,7193,6109,11546,7581,7813,6555,Bitcoin Jungle,,1.0m sats,1.0,02e9d5bdb1450c5f34b018d2d0b2d2ab16041810330d4ae9bdef86b9495c26505f
8021,6266,10569,9027,6913,7170,5331,,,2.0m sats,1.0,03825052101cd5402c7ec0bcb814141229b60faaeb0019f5aa599fb3384c909d28
8022,7632,6350,10397,7935,8161,7054,mynodebtc.com [myNode],,757k sats,1.0,0285e6eeec2257c17b7155c9d8d9de9b3597aed99366138a8fb75546e96b89c57b
8023,7753,4729,11769,8004,8228,7235,CF34-3B1,,609k sats,1.0,031fa642dd20711181bfe0fabfdce0bd458e643ad042cc451d8d60bfe80fb7fc9f
8024,6147,11043,8564,6831,7088,5249,03397581758cfc8af1c3,,2.0m sats,1.0,03397581758cfc8af1c31c69ccc8e7d12f7a95c5baf734ecd14b1c0d93738a74dd
