Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
337,601,157,99,262,59,lndwr3.zaphq.io,,Only Clearnet,5.2 bitcoin,9,02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de
38,41,99,64,60,60,lnmarkets.com,"Wallet, Exchange",Only Tor,5.2 bitcoin,31,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c
90,90,223,219,145,61,c-otto.de,Routing,Only Tor,5.1 bitcoin,15,027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71
9999,9999,9999,9999,1921,62,rifrif,,Only Tor,5.1 bitcoin,1,020e0110805916823172a87fe418af721d463e65aff75a3239709be0d9587b2523
235,275,65,39,176,63,Narodowy Bank Polski|NBP,,Only Clearnet,4.8 bitcoin,13,037c0bb263a4fe95f0ed598b50cf51e5732a6bc1c48d1c81c5e89f2442939dffdd
265,132,128,119,262,64,bipa,,Only Clearnet,4.7 bitcoin,9,02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182
734,948,442,398,587,65,bitz23,,Only Tor,4.7 bitcoin,4,023a89bcaf5d6635434af2665a7ff77cece6bb462b48ab1ee96b522505fdd44d64
390,325,572,356,300,66,deezy prime ⚡ ✨,LSP,Only Clearnet,4.7 bitcoin,8,0214ec5397050f7eec8e574d1d6feaa0c992169ed107056e6bd57aed1e94714851
337,213,274,336,300,67,Alby 🐝 routing ⚡ 1,Payment,Only Clearnet,4.6 bitcoin,8,03b65c19de2da9d35895b37e6fa263cefbf8d184e6b61c0713747ebf12409d219f
337,662,417,541,343,68,cwallet.com,"Wallet, Exchange",Only Clearnet,4.5 bitcoin,7,0371ccb71e3838984f6903b40b76581c4fceda54e22cb9c6a7d20681c036de0571
49,51,17,12,46,69,Henwen 🐷,,Only Clearnet,4.4 bitcoin,38,02f0c7b731ca40a285d7c12aa1c5c7c7caa4598d3d6d34904c3714cd0d47852640
78,93,254,232,66,70,microlancer.io,,Only Tor,4.3 bitcoin,29,02bb10aaa77a95a358cebb2d112c4de00e47c08f56e89b1acb4487ddd44cc98d6d
197,299,278,239,159,71,CONFIRMO.net,,Only Clearnet,4.2 bitcoin,14,02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74
466,521,447,350,473,72,PaidlyInteractive⚡,,Clearnet and Tor,4.2 bitcoin,5,02ba0c09d94698745ebbda922c6d19d54437a89aab333f1539d8cfafb819173feb
141,151,153,254,211,73,CryptoChill,,Only Clearnet,4.2 bitcoin,11,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7
337,234,356,454,343,74,ostinvestor,,Only Tor,4.0 bitcoin,7,039cc5f54fcb4ceb6900d13d899a1ea5a142f350cebceaae21043d1d502bb85ef5
29,56,477,326,21,75,Midas,,Only Tor,4.0 bitcoin,72,0205198c099c45acedf988445f71da087ca39cd80847e53a7819e8f4e45768d7d3
17,15,140,245,90,76,BCash_Is_Trash,,Clearnet and Tor,4.0 bitcoin,23,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f
9999,9999,9999,9999,1921,77,02a652cc93de7b5c8a04,,Only Clearnet,3.9 bitcoin,1,02a652cc93de7b5c8a048f0734444ae3882e1bece264156bf014c1a325dd5182d3
51,83,329,207,27,78,DiamondHands💎🙌,LSP,Only Clearnet,3.9 bitcoin,56,035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30
36,37,32,121,90,79,LNBϟG [Edge-2],,Only Tor,3.7 bitcoin,23,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251
265,345,630,411,159,80,02442d4249f9a93464aaf8cd8d522faa,,Clearnet and Tor,3.6 bitcoin,14,02442d4249f9a93464aaf8cd8d522faa869356707b5f1537a8d6def2af50058c5b
390,509,104,116,399,81,paxful,,Only Tor,3.5 bitcoin,6,028b10be90ddfb4ef158c252163e4f340c8a093beee20427d39a0986abac58a55e
212,419,286,258,211,82,speed1,,Only Clearnet,3.5 bitcoin,11,031df8ea711416b52d33c2f4a9b2a41d82f1da3c7672ffef2c24b0751cbdb75404
61,50,117,216,136,83,SilentBob,,Only Clearnet,3.5 bitcoin,16,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844
166,301,281,240,159,84,tka.jp,,Only Tor,3.4 bitcoin,14,032d5a4b5a6a344ca15f6284e3e149f4716a1af782ffbb0194e0dadc077051acf0
22,17,10,7,19,85,routemaster,,Only Tor,3.3 bitcoin,74,03e7d1b2db2f6909365a066a2b40d5ef3a66f1c4d70d8cac3337e09ff2fd2d408f
95,111,316,267,90,86,Nightfort,,Only Clearnet,3.3 bitcoin,23,03ea23e773775eb33004bf7d3431c61317cb1e969995e631e3349bd1ba7e5e33f8
104,68,149,242,104,86,Veritas Immortalis,,Only Tor,3.3 bitcoin,21,0270a26e0772d0cde73d870cbadf632c5377f83ed02d979f866dca2e8c49ab8551
85,104,139,222,63,88,flashsats.xyz,,Only Tor,3.3 bitcoin,30,038ba8f67ba8ff5c48764cdd3251c33598d55b203546d08a8f0ec9dcd9f27e3637
95,105,47,38,77,89,ln-1.anycoin.cz,,Only Tor,3.2 bitcoin,26,02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5
569,758,693,607,774,90,BC.GAME,,Only Clearnet,3.2 bitcoin,3,02c197ffa4c2aa4105dd4c4b7279ba1b9061b22910ebbfa759b0001bed9ee48a16
104,421,263,212,104,91,carlslight,,Only Tor,3.0 bitcoin,21,020ca6f9aaebc3c8aab77f3532112649c28a0bfb1539d0c2a42f795fb6e4c363b2
85,103,69,51,77,92,Boltz|CLN,Exchange,Only Tor,3.0 bitcoin,26,02d96eadea3d780104449aca5c93461ce67c1564e2e1d73225fa67dd3b997a6018
110,134,331,293,104,93,MindlinerTre,,Only Clearnet,2.9 bitcoin,21,02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73
95,88,52,47,83,94,Voltage,,Only Tor,2.9 bitcoin,24,031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa
390,695,783,758,232,95,okcoin,,Only Clearnet,2.9 bitcoin,10,036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c
