Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
31,79,109,34,41,51,lnmarkets.com,"Wallet, Exchange",Only Tor,31.7 bitcoin,246,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c
361,508,265,227,288,52,Alby 🐝 routing ⚡ 1,Payment,Only Clearnet,31.7 bitcoin,48,03b65c19de2da9d35895b37e6fa263cefbf8d184e6b61c0713747ebf12409d219f
112,49,67,150,186,53,yalls.org yalls-tor,Routing,Only Tor,30.8 bitcoin,70,03d06758583bb5154774a6eb221b1276c9e82d65bbaceca806d90e20c108f4b1c7
13,14,35,36,17,54,Bitrefill Routing,"LSP, Payment",Only Clearnet,30.6 bitcoin,517,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f
109,231,70,63,84,55,e960fd8385a1603003727,,Only Clearnet,30.2 bitcoin,138,039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3
68,193,57,27,77,56,Zap-O-Matic,,Only Tor,29.1 bitcoin,149,026d0169e8c220d8e789de1e7543f84b9041bbb3e819ab14b9824d37caa94f1eb2
42,42,58,49,50,57,031015a7839468a3c,"LSP, Wallet",Only Clearnet,28.6 bitcoin,212,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0
45,149,147,23,52,58,MindlinerTre,,Only Clearnet,25.7 bitcoin,206,02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73
23,45,128,22,24,59,DiamondHands💎🙌,LSP,Only Clearnet,25.3 bitcoin,383,035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30
87,63,78,54,86,60,YTMND,,Only Tor,24.7 bitcoin,137,03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330
112,202,143,100,98,61,CryptoChill,,Only Clearnet,24.4 bitcoin,127,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7
163,276,37,98,162,62,LNChamp,,Only Tor,23.6 bitcoin,77,0261239197442bda65c9933359bbcba72e89f3e77ca87edd7be2e4bf7ba9218117
591,2390,644,418,302,63,lndwr3.zaphq.io,,Only Clearnet,23.0 bitcoin,47,02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de
1260,4454,2895,889,703,64,Snow,,Only Tor,22.7 bitcoin,23,02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62
71,390,55,25,73,65,02dfe525d9c5b4bb52a5,,Only Clearnet,22.4 bitcoin,154,02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8
38,84,66,33,40,66,⚡G-Spot-21_69_420⚡,,Only Tor,22.1 bitcoin,248,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1
7,4,9,29,5,67,CoinGate,Payment,Only Clearnet,21.7 bitcoin,1305,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3
